repository_name,date,views,unique_visitors/cloners
PyMontage,2022-07-24,1,1
sqltest-github-stats,2022-08-01,4,1
sqltest-github-stats,2022-08-02,17,1
sqltest-github-stats,2022-08-03,11,1
sqltest-github-stats,2022-08-04,9,1
test-github-stats,2022-07-24,12,1
test-github-stats,2022-07-28,50,1
test-github-stats,2022-07-29,59,1
test-github-stats,2022-07-30,9,1
test-github-stats,2022-07-31,2,1
test-github-stats,2022-08-01,7,1
test-github-stats,2022-08-02,14,1
test-github-stats,2022-08-03,1,1
test-github-stats,2022-08-04,3,1
test-github-stats,2022-08-05,6,1
uarizona-salary-app,2022-07-25,1,1
uarizona-salary-app,2022-07-27,1,1
uarizona-salary-app,2022-07-29,1,1
uarizona-salary-app,2022-07-30,4,1
uarizona-salary-app,2022-07-31,27,1
uarizona-salary-app,2022-08-05,1,1
