repository_name,date,clones,unique_visitors/cloners
PeakFlows,2022-03-04,2,2
PyEmLineFit,2022-03-04,2,2
PyMontage,2022-03-04,2,2
simplenodeapp,2022-03-04,2,2
site-hugo-academic,2022-03-04,2,2
system_profiler,2022-03-04,2,2
Telluric_Flux,2022-03-04,2,2
test-github-stats,2022-02-19,1,1
test-github-stats,2022-02-20,4,3
test-github-stats,2022-02-21,4,3
test-github-stats,2022-02-22,4,3
test-github-stats,2022-02-23,4,3
test-github-stats,2022-02-24,1,1
test-github-stats,2022-02-25,1,1
test-github-stats,2022-02-26,1,1
test-github-stats,2022-02-27,3,2
test-github-stats,2022-02-28,2,2
test-github-stats,2022-03-01,2,2
test-github-stats,2022-03-02,2,2
test-github-stats,2022-03-03,1,1
test-github-stats,2022-03-04,2,2
test-stats,2022-03-04,1,1
uarizona-salary-app,2022-02-20,1,1
uarizona-salary-app,2022-03-04,1,1
voxcharta-my-voting-record,2022-03-04,2,2
Zcalbase,2022-03-04,2,2
