repository_name,date,views,unique_visitors/cloners
figshare_autosync_check_queue,2021-06-07,5,1
figshare_autosync_check_queue,2021-06-08,7,1
figshare_autosync_check_queue,2021-06-09,1,1
figshare_autosync_check_queue,2021-06-10,10,2
github-stats,2021-06-02,2,1
github-stats,2021-06-08,34,2
github-stats,2021-06-09,1,1
github-stats,2021-06-11,7,1
github-stats-pages,2021-05-31,7,1
github-stats-pages,2021-06-02,1,1
github-stats-pages,2021-06-06,1,1
github-stats-pages,2021-06-09,12,1
github-stats-pages,2021-06-11,2,1
Metallicity_Stack_Commons,2021-05-29,16,1
Metallicity_Stack_Commons,2021-06-11,11,2
MMTtools,2021-06-04,3,1
