repository_name,date,clones,unique_visitors/cloners
github-stats,2022-09-27,3,2
github-stats,2022-09-28,3,2
github-stats,2022-09-29,4,3
github-stats,2022-09-30,3,2
github-stats,2022-10-01,4,3
github-stats,2022-10-02,3,2
github-stats,2022-10-03,4,3
github-stats,2022-10-04,3,2
github-stats,2022-10-05,3,2
github-stats,2022-10-06,3,2
github-stats,2022-10-07,3,2
github-stats,2022-10-08,3,2
github-stats,2022-10-09,3,2
github-stats-pages,2022-09-30,1,1
github-stats-pages,2022-10-04,3,1
github-stats-pages,2022-10-05,1,1
github-stats-pages,2022-10-07,2,2
GNIRSLongSlit,2022-09-28,1,1
MMTtools,2022-09-26,1,1
MMTtools,2022-09-28,1,1
PyEmLineFit,2022-10-02,1,1
PyMontage,2022-10-03,1,1
site-hugo-academic,2022-10-02,1,1
site-hugo-academic,2022-10-03,1,1
sqltest-github-stats,2022-09-26,1,1
sqltest-github-stats,2022-09-27,7,5
sqltest-github-stats,2022-09-28,4,3
sqltest-github-stats,2022-09-29,4,3
sqltest-github-stats,2022-09-30,5,4
sqltest-github-stats,2022-10-01,6,4
sqltest-github-stats,2022-10-02,6,4
sqltest-github-stats,2022-10-03,4,3
sqltest-github-stats,2022-10-04,5,4
sqltest-github-stats,2022-10-05,4,3
sqltest-github-stats,2022-10-06,4,3
sqltest-github-stats,2022-10-07,6,4
sqltest-github-stats,2022-10-08,7,5
sqltest-github-stats,2022-10-09,8,5
test-github-stats,2022-09-26,1,1
test-github-stats,2022-09-27,3,3
test-github-stats,2022-09-28,3,3
test-github-stats,2022-09-29,2,2
test-github-stats,2022-09-30,2,2
test-github-stats,2022-10-01,4,3
test-github-stats,2022-10-02,2,2
test-github-stats,2022-10-03,3,3
test-github-stats,2022-10-04,2,2
test-github-stats,2022-10-05,2,2
test-github-stats,2022-10-06,3,3
test-github-stats,2022-10-07,4,3
test-github-stats,2022-10-08,6,4
test-github-stats,2022-10-09,6,4
uarizona-salary-app,2022-10-02,9,3
voxcharta-my-voting-record,2022-09-26,1,1
Zcalbase,2022-10-07,1,1
Zcalbase,2022-10-08,1,1
Zcalbase_gal,2022-09-28,1,1
Zcalbase_gal,2022-10-02,1,1
Zcalbase_gal,2022-10-05,1,1
