repository_name,date,views,unique_visitors/cloners
site-hugo-academic,2022-05-03,1,1
test-github-stats,2022-05-01,5,1
test-github-stats,2022-05-02,13,1
test-stats,2022-04-29,2,2
uarizona-salary-app,2022-04-25,1,1
uarizona-salary-app,2022-04-28,2,2
uarizona-salary-app,2022-04-30,1,1
uarizona-salary-app,2022-05-04,4,1
uarizona-salary-app,2022-05-05,12,2
voxcharta-my-voting-record,2022-04-23,41,1
voxcharta-my-voting-record,2022-04-24,13,1
voxcharta-my-voting-record,2022-04-25,1,1
voxcharta-my-voting-record,2022-04-26,5,1
voxcharta-my-voting-record,2022-04-27,2,1
voxcharta-my-voting-record,2022-05-03,2,1
voxcharta-my-voting-record,2022-05-04,10,1
Zcalbase_gal,2022-05-05,3,1
