repository_name,date,views,unique_visitors/cloners
github-stats,2022-09-27,1,1
github-stats,2022-09-28,4,1
github-stats-pages,2022-09-27,3,3
github-stats-pages,2022-10-03,5,1
MMTtools,2022-09-20,12,1
MMTtools,2022-09-21,15,4
MMTtools,2022-09-22,4,1
MMTtools,2022-09-23,2,1
MMTtools,2022-09-26,3,2
MMTtools,2022-09-27,5,1
old_website_nightsky,2022-09-30,1,1
simplenodeapp,2022-10-02,2,2
site-hugo-academic,2022-10-02,8,2
sqltest-github-stats,2022-09-21,8,1
sqltest-github-stats,2022-09-28,1,1
tep-usage-analysis,2022-09-22,2,1
uarizona-salary-app,2022-09-27,1,1
uarizona-salary-app,2022-09-29,1,1
uarizona-salary-app,2022-10-02,10,1
voxcharta-my-voting-record,2022-09-30,6,1
