repository_name,site,views,unique_visitors/cloners
astrochun.github.io,github.com,1,1
DevOps_guide,github.com,1,1
github-stats-pages,pypi.org,1,1
github-stats-pages,Google,1,1
GNIRSLongSlit,github.com,1,1
MMTtools,bitbucket.org,1,1
Telluric_Flux,github.com,2,1
uarizona-salary-app,t.co,3,2
uarizona-salary-app,Google,1,1
uarizona-salary-app,github.com,1,1
uarizona-salary-app,DuckDuckGo,1,1
voxcharta-my-voting-record,snu.voxcharta.org,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
