repository_name,date,clones,unique_visitors/cloners
PyMontage,2022-08-01,2,1
simplenodeapp,2022-07-28,1,1
sqlmodel-learning,2022-07-24,1,1
sqlmodel-learning,2022-08-01,2,1
sqltest-github-stats,2022-07-21,7,4
sqltest-github-stats,2022-07-22,5,3
sqltest-github-stats,2022-07-23,5,3
sqltest-github-stats,2022-07-24,8,6
sqltest-github-stats,2022-07-25,6,4
sqltest-github-stats,2022-07-26,7,4
sqltest-github-stats,2022-07-27,5,3
sqltest-github-stats,2022-07-28,7,5
sqltest-github-stats,2022-07-29,5,3
sqltest-github-stats,2022-07-30,6,4
sqltest-github-stats,2022-07-31,6,4
sqltest-github-stats,2022-08-01,14,9
sqltest-github-stats,2022-08-02,10,4
system_profiler,2022-08-01,2,1
Telluric_Flux,2022-07-23,1,1
Telluric_Flux,2022-08-01,2,1
test-github-stats,2022-07-21,1,1
test-github-stats,2022-07-22,4,3
test-github-stats,2022-07-23,4,3
test-github-stats,2022-07-24,5,4
test-github-stats,2022-07-25,4,3
test-github-stats,2022-07-26,4,3
test-github-stats,2022-07-27,5,3
test-github-stats,2022-07-28,18,6
test-github-stats,2022-07-29,15,7
test-github-stats,2022-07-30,6,4
test-github-stats,2022-07-31,3,2
test-github-stats,2022-08-01,8,7
test-github-stats,2022-08-02,2,2
test-stats,2022-07-25,1,1
uarizona-salary-app,2022-07-20,3,2
uarizona-salary-app,2022-07-22,2,1
uarizona-salary-app,2022-07-23,2,1
uarizona-salary-app,2022-07-24,2,1
uarizona-salary-app,2022-07-28,4,2
uarizona-salary-app,2022-07-29,1,1
voxcharta-my-voting-record,2022-07-25,2,1
Zcalbase,2022-08-01,2,1
Zcalbase_gal,2022-07-22,2,1
Zcalbase_gal,2022-08-01,1,1
