repository_name,site,views,unique_visitors/cloners
github-stats-pages,pypi.org,2,2
github-stats-pages,github.com,1,1
GNIRSLongSlit,github.com,1,1
IntroPythonAstronomy,github.com,1,1
MMTtools,github.com,6,2
MMTtools,bitbucket.org,4,3
MMTtools,astrochun.github.io,1,1
MZEvolve,github.com,1,1
old_website_nightsky,github.com,1,1
site-hugo-academic,Google,2,1
uarizona-salary-app,t.co,20,17
uarizona-salary-app,github.com,1,1
uarizona-salary-app,l.facebook.com,1,1
uarizona-salary-app,sapp4ua.herokuapp.com,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,3,3
Zcalbase_gal,github.com,2,2
