repository_name,site,views,unique_visitors/cloners
astrochun,github.com,2,1
chun_codes,Bing,1,1
github-stats,github.com,2,1
github-stats,pypi.org,1,1
github-stats-pages,github.com,16,4
github-stats-pages,Google,10,9
github-stats-pages,pypi.org,4,1
MMTtools,pypi.org,1,1
PyMontage,Google,1,1
site-hugo-academic,github.com,2,2
uarizona-salary-app,github.com,8,1
uarizona-salary-app,Google,2,2
voxcharta-my-voting-record,t.co,14,9
voxcharta-my-voting-record,github.com,11,2
Zcalbase_gal,Google,15,1
Zcalbase_gal,github.com,7,1
