repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2023-07-20,2,1
academic-ads-bibtex,2023-07-22,1,1
academic-ads-bibtex,2023-07-30,1,1
github-stats,2023-07-22,1,1
github-stats-pages,2023-07-22,26,1
Metallicity_Stack_Commons,2023-07-23,20,1
Metallicity_Stack_Commons,2023-07-30,2,1
MMTtools,2023-07-26,1,1
uarizona-salary-app,2023-07-19,2,1
uarizona-salary-app,2023-07-30,5,2
Zcalbase_gal,2023-07-21,23,1
Zcalbase_gal,2023-07-23,2,1
Zcalbase_gal,2023-07-24,2,1
Zcalbase_gal,2023-07-26,2,1
