repository_name,date,clones,unique_visitors/cloners
2018-09-01-steward,2022-06-27,1,1
2018-09-01-steward,2022-07-08,1,1
academic-ads-bibtex,2022-06-29,1,1
academic-ads-bibtex,2022-07-05,1,1
academic-ads-bibtex,2022-07-08,1,1
Evolution-of-Galaxies,2022-07-09,1,1
figshare-actions-publish-test,2022-07-04,1,1
figshare_actions,2022-07-04,1,1
figshare_actions,2022-07-09,1,1
figshare_actions2,2022-07-04,1,1
figshare_autosync_check,2022-07-04,1,1
figshare_autosync_check,2022-07-09,1,1
figshare_autosync_check_queue,2022-07-04,1,1
figshare_autosync_check_queue,2022-07-09,1,1
figshare_test,2022-07-04,1,1
figshare_test2,2022-07-04,1,1
github-stats,2022-06-27,3,2
github-stats,2022-06-28,3,2
github-stats,2022-06-29,4,3
github-stats,2022-06-30,4,3
github-stats,2022-07-01,3,2
github-stats,2022-07-02,4,3
github-stats,2022-07-03,3,2
github-stats,2022-07-04,3,2
github-stats,2022-07-05,3,2
github-stats,2022-07-06,4,3
github-stats,2022-07-07,3,2
github-stats,2022-07-08,4,3
github-stats,2022-07-09,3,2
github-stats-pages,2022-06-26,25,3
github-stats-pages,2022-07-01,4,3
github-stats-pages,2022-07-03,64,4
github-stats-pages,2022-07-04,23,3
github-stats-pages,2022-07-06,15,2
github-stats-pages,2022-07-07,32,3
github-stats-pages,2022-07-08,1,1
