repository_name,site,views,unique_visitors/cloners
github-stats,github.com,10,1
github-stats-pages,github.com,3,1
github-stats-pages,Google,2,2
GNIRSLongSlit,Google,1,1
Metallicity_Stack_Commons,github.com,1,1
MZEnv,github.com,1,1
uarizona-salary-app,t.co,6,6
uarizona-salary-app,sapp4ua.herokuapp.com,3,3
uarizona-salary-app,Google,3,3
uarizona-salary-app,github.com,3,2
voxcharta-my-voting-record,Google,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
Zcalbase_gal,github.com,1,1
