repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,Google,1,1
astrochun,github.com,1,1
astrochun.github.io,github.com,2,1
github-stats,github.com,3,2
github-stats-pages,Google,8,4
github-stats-pages,astrochun.github.io,1,1
MMTtools,bitbucket.org,9,2
MMTtools,Google,1,1
old_website_nightsky,github.com,1,1
sqltest-github-stats,github.com,1,1
tep-usage-analysis,github.com,1,1
uarizona-salary-app,dashboard.heroku.com,4,1
uarizona-salary-app,github.com,3,1
uarizona-salary-app,Google,2,2
voxcharta-my-voting-record,github.com,4,1
