repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,Google,4,2
astrochun,github.com,1,1
astrochun.github.io,github.com,2,1
github-stats,github.com,2,1
github-stats-pages,Google,8,4
old_website_nightsky,github.com,1,1
sqltest-github-stats,github.com,1,1
tep-usage-analysis,github.com,1,1
uarizona-salary-app,github.com,20,2
uarizona-salary-app,dashboard.heroku.com,4,1
uarizona-salary-app,sapp4ua.herokuapp.com,3,1
uarizona-salary-app,t.co,2,2
uarizona-salary-app,Google,1,1
voxcharta-my-voting-record,github.com,4,1
