repository_name,site,views,unique_visitors/cloners
voxcharta-my-voting-record,harvard.voxcharta.org,10,8
voxcharta-my-voting-record,somsubhra.github.io,2,1
voxcharta-my-voting-record,oats.voxcharta.org,1,1
voxcharta-my-voting-record,dawn-cph.voxcharta.org,1,1
voxcharta-my-voting-record,uconn-astronomy.voxcharta.org,1,1
voxcharta-my-voting-record,pmo.voxcharta.org,1,1
voxcharta-my-voting-record,lastro.voxcharta.org,1,1
voxcharta-my-voting-record,ikp-cosmic.voxcharta.org,1,1
voxcharta-my-voting-record,mpia-mw.voxcharta.org,1,1
voxcharta-my-voting-record,cefca.voxcharta.org,1,1
