repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,readthedocs.org,4,1
academic-ads-bibtex,github.com,4,1
academic-ads-bibtex,Google,1,1
github-stats,github.com,1,1
github-stats-pages,Google,16,14
github-stats-pages,github.com,1,1
MMTtools,Google,1,1
site-hugo-academic,github.com,1,1
Telluric_Flux,github.com,3,1
test-stats,github.com,1,1
uarizona-salary-app,t.co,2,2
uarizona-salary-app,Google,1,1
uarizona-salary-app,github.com,1,1
voxcharta-my-voting-record,t.co,3,2
