repository_name,date,clones,unique_visitors/cloners
sqlmodel-learning,2024-04-07,1,1
sqlmodel-learning,2024-04-09,1,1
sqltest-github-stats,2024-04-03,1,1
sqltest-github-stats,2024-04-04,1,1
sqltest-github-stats,2024-04-05,1,1
sqltest-github-stats,2024-04-06,1,1
sqltest-github-stats,2024-04-07,1,1
sqltest-github-stats,2024-04-08,1,1
sqltest-github-stats,2024-04-09,1,1
sqltest-github-stats,2024-04-10,1,1
sqltest-github-stats,2024-04-11,1,1
sqltest-github-stats,2024-04-12,1,1
sqltest-github-stats,2024-04-13,1,1
sqltest-github-stats,2024-04-14,1,1
sqltest-github-stats,2024-04-15,1,1
test-github-stats,2024-04-03,2,2
test-github-stats,2024-04-04,2,2
test-github-stats,2024-04-05,5,5
test-github-stats,2024-04-06,5,4
test-github-stats,2024-04-07,3,3
test-github-stats,2024-04-08,3,3
test-github-stats,2024-04-09,3,3
test-github-stats,2024-04-10,3,3
test-github-stats,2024-04-11,3,3
test-github-stats,2024-04-12,6,5
test-github-stats,2024-04-13,4,3
test-github-stats,2024-04-14,5,4
test-github-stats,2024-04-15,3,3
voxcharta-my-voting-record,2024-04-03,1,1
Zcalbase_gal,2024-04-03,1,1
