repository_name,site,views,unique_visitors/cloners
Evolution-of-Galaxies,github.com,3,3
github-stats,github.com,1,1
github-stats-pages,astrochun.github.io,1,1
github-stats-pages,github.com,1,1
github-stats-pages,yandex.ru,1,1
Metallicity_Stack_Commons,github.com,3,2
Metallicity_Stack_Commons,metallicity-stack-commons.readthedocs.io,2,1
MMTtools,github.com,1,1
test-github-stats,github.com,1,1
test-stats,github.com,1,1
uarizona-salary-app,github.com,5,2
uarizona-salary-app,dashboard.heroku.com,4,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
Zcalbase_gal,github.com,3,2
