repository_name,site,views,unique_visitors/cloners
astrochun,github.com,1,1
github-stats,github.com,7,1
github-stats-pages,github.com,3,1
github-stats-pages,Google,1,1
Metallicity_Stack_Commons,github.com,1,1
MMTtools,bitbucket.org,3,2
MZEnv,github.com,1,1
uarizona-salary-app,t.co,6,6
uarizona-salary-app,Google,4,4
uarizona-salary-app,github.com,3,2
uarizona-salary-app,sapp4ua.herokuapp.com,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,2,2
voxcharta-my-voting-record,Google,1,1
Zcalbase_gal,github.com,1,1
