repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2023-01-09,3,2
academic-ads-bibtex,2023-01-10,3,1
astrochun.github.io,2023-01-17,2,1
Evolution-of-Galaxies,2023-01-11,2,1
Extract1D,2023-01-10,1,1
github-stats,2023-01-19,4,1
github-stats-pages,2023-01-08,2,1
github-stats-pages,2023-01-09,1,1
github-stats-pages,2023-01-11,1,1
github-stats-pages,2023-01-12,1,1
github-stats-pages,2023-01-16,1,1
github-stats-pages,2023-01-17,3,3
Metallicity_Stack_Commons,2023-01-17,2,1
test-github-stats,2023-01-08,8,2
test-github-stats,2023-01-11,3,1
test-github-stats,2023-01-14,3,1
uarizona-salary-app,2023-01-11,3,1
uarizona-salary-app,2023-01-13,1,1
uarizona-salary-app,2023-01-19,4,1
voxcharta-my-voting-record,2023-01-11,1,1
voxcharta-my-voting-record,2023-01-16,1,1
Zcalbase_gal,2023-01-11,1,1
Zcalbase_gal,2023-01-17,41,1
Zcalbase_gal,2023-01-18,2,1
