repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2023-06-28,1,1
academic-ads-bibtex,2023-07-06,1,1
astrochun,2023-07-07,1,1
github-stats,2023-07-01,2,1
github-stats-pages,2023-06-27,1,1
github-stats-pages,2023-06-30,8,2
github-stats-pages,2023-07-06,1,1
github-stats-pages,2023-07-07,2,2
GNIRSLongSlit,2023-06-28,1,1
GNIRSLongSlit,2023-06-29,1,1
MMTtools,2023-06-28,1,1
MMTtools,2023-07-06,1,1
PyMontage,2023-07-01,1,1
uarizona-salary-app,2023-06-27,1,1
uarizona-salary-app,2023-07-05,2,1
Zcalbase_gal,2023-06-28,1,1
