repository_name,site,views,unique_visitors/cloners
github-stats-pages,pypi.org,1,1
GNIRSLongSlit,github.com,1,1
MMTtools,bitbucket.org,4,3
MMTtools,astrochun.github.io,1,1
MMTtools,github.com,1,1
site-hugo-academic,Google,2,1
uarizona-salary-app,t.co,18,16
uarizona-salary-app,github.com,5,4
uarizona-salary-app,Google,3,3
uarizona-salary-app,sapp4ua.herokuapp.com,1,1
uarizona-salary-app,l.facebook.com,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,2,2
Zcalbase_gal,github.com,3,2
