repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,github.com,1,1
astrochun,github.com,1,1
astrochun.github.io,github.com,1,1
figshare-actions-publish-test,github.com,2,1
github-stats,github.com,7,1
github-stats-pages,Google,2,2
github-stats-pages,github.com,1,1
GNIRSLongSlit,Google,1,1
Metallicity_Stack_Commons,github.com,2,1
MZEnv,github.com,1,1
uarizona-salary-app,t.co,13,12
uarizona-salary-app,sapp4ua.herokuapp.com,3,2
uarizona-salary-app,github.com,2,2
uarizona-salary-app,Google,1,1
voxcharta-my-voting-record,Google,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
Zcalbase_gal,github.com,4,2
