repository_name,site,views,unique_visitors/cloners
astrochun,github.com,2,2
astrochun.github.io,github.com,1,1
Evolution-of-Galaxies,github.com,3,3
github-stats,github.com,3,2
github-stats-pages,github.com,1,1
github-stats-pages,yandex.ru,1,1
Metallicity_Stack_Commons,github.com,3,2
MMTtools,github.com,1,1
test-github-stats,github.com,1,1
test-stats,github.com,1,1
uarizona-salary-app,github.com,5,2
uarizona-salary-app,dashboard.heroku.com,5,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
voxcharta-my-voting-record,uiuc-quasars.voxcharta.org,1,1
Zcalbase_gal,github.com,3,2
