repository_name,date,views,unique_visitors/cloners
Evolution-of-Galaxies,2022-08-22,9,1
figshare_test2,2022-08-30,1,1
github-stats,2022-08-28,1,1
github-stats-pages,2022-08-25,1,1
github-stats-pages,2022-08-26,4,4
github-stats-pages,2022-08-27,1,1
github-stats-pages,2022-08-28,4,2
github-stats-pages,2022-09-01,2,2
github-stats-pages,2022-09-02,1,1
github-stats-pages,2022-09-03,3,3
github-stats-pages,2022-09-04,1,1
github-stats-pages,2022-09-05,1,1
GNIRSLongSlit,2022-08-28,1,1
MMTtools,2022-08-22,3,1
