repository_name,date,clones,unique_visitors/cloners
test-github-stats,2022-04-07,4,3
test-github-stats,2022-04-08,4,3
test-github-stats,2022-04-09,1,1
test-github-stats,2022-04-10,3,2
test-github-stats,2022-04-11,3,2
test-github-stats,2022-04-12,2,2
test-github-stats,2022-04-13,3,2
test-github-stats,2022-04-14,3,2
test-github-stats,2022-04-15,3,2
test-github-stats,2022-04-16,5,3
test-github-stats,2022-04-17,5,4
test-github-stats,2022-04-18,3,2
test-github-stats,2022-04-19,3,2
voxcharta-my-voting-record,2022-04-06,20,6
voxcharta-my-voting-record,2022-04-07,1,1
voxcharta-my-voting-record,2022-04-08,1,1
voxcharta-my-voting-record,2022-04-09,3,2
voxcharta-my-voting-record,2022-04-10,16,6
voxcharta-my-voting-record,2022-04-11,2,1
voxcharta-my-voting-record,2022-04-19,1,1
