repository_name,site,views,unique_visitors/cloners
IntroPythonAstronomy,github.com,1,1
MMTtools,github.com,5,2
MMTtools,bitbucket.org,4,4
MMTtools,astrochun.github.io,1,1
MZEvolve,github.com,1,1
old_website_nightsky,github.com,1,1
site-hugo-academic,Google,2,1
site-hugo-academic,github.com,1,1
uarizona-salary-app,t.co,3,2
uarizona-salary-app,github.com,1,1
uarizona-salary-app,l.facebook.com,1,1
uarizona-salary-app,sapp4ua.herokuapp.com,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,3,3
Zcalbase_gal,github.com,1,1
