repository_name,site,views,unique_visitors/cloners
github-stats,github.com,1,1
github-stats-pages,github.com,4,3
github-stats-pages,pypi.org,1,1
IntroPythonAstronomy,github.com,1,1
MMTtools,github.com,5,2
MMTtools,bitbucket.org,2,2
MZEvolve,github.com,1,1
old_website_nightsky,github.com,1,1
site-hugo-academic,github.com,1,1
test-github-stats,github.com,1,1
uarizona-salary-app,t.co,4,2
uarizona-salary-app,sapp4ua.herokuapp.com,1,1
uarizona-salary-app,github.com,1,1
voxcharta-my-voting-record,Google,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
Zcalbase_gal,github.com,4,1
