repository_name,date,views,unique_visitors/cloners
test-github-stats,2021-05-28,4,1
test-stats,2021-05-28,1,1
uarizona-salary-app,2021-05-20,20,1
uarizona-salary-app,2021-05-21,73,3
uarizona-salary-app,2021-05-22,4,1
uarizona-salary-app,2021-05-23,5,1
uarizona-salary-app,2021-05-25,2,1
uarizona-salary-app,2021-05-28,7,1
uarizona-salary-app,2021-05-29,15,1
uarizona-salary-app,2021-05-30,30,1
uarizona-salary-app,2021-05-31,34,1
uarizona-salary-app,2021-06-01,2,1
voxcharta-my-voting-record,2021-05-20,1,1
voxcharta-my-voting-record,2021-05-24,5,1
voxcharta-my-voting-record,2021-05-27,1,1
voxcharta-my-voting-record,2021-06-01,1,1
Zcalbase_gal,2021-05-20,11,1
Zcalbase_gal,2021-05-25,14,1
Zcalbase_gal,2021-05-27,11,2
Zcalbase_gal,2021-05-29,5,1
Zcalbase_gal,2021-05-31,7,1
