repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2023-08-12,3,2
github-stats,2023-08-07,10,1
github-stats,2023-08-18,1,1
github-stats-pages,2023-08-07,34,1
github-stats-pages,2023-08-16,2,1
github-stats-pages,2023-08-18,1,1
GNIRSLongSlit,2023-08-11,11,1
GNIRSLongSlit,2023-08-12,1,1
GNIRSLongSlit,2023-08-13,24,1
GNIRSLongSlit,2023-08-15,4,2
GNIRSLongSlit,2023-08-16,19,1
site-hugo-academic,2023-08-16,24,1
site-hugo-academic,2023-08-17,15,1
sqltest-github-stats,2023-08-07,5,1
